symbol,interval,ts,open,high,low,close,volume,created_at,updated_at
BTC-USD,1h,2025-11-08 19:00:00.000000 +00:00,102108.0000000000,102161.4200000000,101485.2000000000,101950.0300000000,243.3858509200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 20:00:00.000000 +00:00,101953.4400000000,102147.6300000000,101920.2200000000,102040.9700000000,117.6861700300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 21:00:00.000000 +00:00,102040.9700000000,102357.1000000000,101990.0000000000,102248.0100000000,123.9554397400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 22:00:00.000000 +00:00,102248.0400000000,102398.6500000000,102141.9600000000,102345.4100000000,130.6834544400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-08 23:00:00.000000 +00:00,102345.4000000000,102465.4900000000,102249.2000000000,102285.5700000000,84.7933344300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 00:00:00.000000 +00:00,102285.5800000000,102315.1500000000,101582.1100000000,101760.7300000000,197.1636958700,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 01:00:00.000000 +00:00,101760.7300000000,102085.6500000000,101653.3100000000,102012.6400000000,251.6861930400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 02:00:00.000000 +00:00,102012.5500000000,102012.5600000000,101558.0600000000,101613.8800000000,150.7562469900,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 03:00:00.000000 +00:00,101616.0000000000,101797.5000000000,101372.5800000000,101642.0000000000,162.1503506500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 04:00:00.000000 +00:00,101642.0000000000,102113.4500000000,101610.8800000000,101698.0200000000,168.9286159000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 05:00:00.000000 +00:00,101698.0400000000,102006.0200000000,101656.0400000000,101911.9800000000,164.5677844500,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 06:00:00.000000 +00:00,101901.5700000000,101948.3600000000,101674.8200000000,101728.6300000000,164.6537806100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 07:00:00.000000 +00:00,101728.6300000000,101964.7300000000,101655.1900000000,101919.3600000000,160.1575066100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 08:00:00.000000 +00:00,101919.3600000000,102054.9900000000,101797.5000000000,101961.0300000000,154.4404012300,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 09:00:00.000000 +00:00,101966.4200000000,102117.6400000000,101605.0000000000,101635.1600000000,210.0306753000,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 10:00:00.000000 +00:00,101635.1600000000,101905.1200000000,101482.1600000000,101864.0200000000,193.8553239400,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 11:00:00.000000 +00:00,101864.0200000000,102308.7300000000,101864.0200000000,102232.0100000000,125.9103833200,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 12:00:00.000000 +00:00,102223.0400000000,102412.3800000000,102031.8600000000,102069.2500000000,210.0927776600,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
BTC-USD,1h,2025-11-09 13:00:00.000000 +00:00,102068.9400000000,102988.5000000000,102052.2400000000,102892.0600000000,280.3594956100,2025-11-14 20:41:14.648698 +00:00,2025-11-14 20:41:14.648698 +00:00
