id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
61,60,BTC,0.00000,{hype},0.40000,2025-11-14 19:30:00.000000 +00:00,6,0.44721,2025-11-14 20:41:03.346185 +00:00,2025-11-14 20:41:03.346185 +00:00
62,63,BTC,0.00000,{},0.40000,2025-11-14 19:31:20.000000 +00:00,6,0.44721,2025-11-14 20:41:03.352157 +00:00,2025-11-14 20:41:03.352157 +00:00
63,66,AAVE,0.00000,{regulatory},0.40000,2025-11-14 19:37:34.000000 +00:00,6,,2025-11-14 20:41:03.357746 +00:00,2025-11-14 20:41:03.357746 +00:00
64,70,BTC,-1.00000,{regulatory},0.71000,2025-11-14 19:45:56.000000 +00:00,6,-0.89443,2025-11-14 20:41:03.365301 +00:00,2025-11-14 20:41:03.365301 +00:00
65,71,ETH,1.00000,{hype},0.95000,2025-11-14 19:47:01.000000 +00:00,6,1.21268,2025-11-14 20:41:03.367637 +00:00,2025-11-14 20:41:03.367637 +00:00
66,72,BTC,-1.00000,{hype},0.90000,2025-11-14 19:51:09.000000 +00:00,6,-0.70711,2025-11-14 20:41:03.369914 +00:00,2025-11-14 20:41:03.369914 +00:00
67,72,XRP,-1.00000,{hype},0.90000,2025-11-14 19:51:09.000000 +00:00,6,-1.29987,2025-11-14 20:41:03.369914 +00:00,2025-11-14 20:41:03.369914 +00:00
68,73,BTC,-1.00000,"{hype,regulatory}",0.90000,2025-11-14 19:52:50.000000 +00:00,6,-0.70711,2025-11-14 20:41:03.372432 +00:00,2025-11-14 20:41:03.372432 +00:00
69,73,ETH,-1.00000,"{hype,regulatory}",0.90000,2025-11-14 19:52:50.000000 +00:00,6,-1.22474,2025-11-14 20:41:03.372432 +00:00,2025-11-14 20:41:03.372432 +00:00
70,75,BTC,0.00000,{},0.40000,2025-11-14 19:57:16.000000 +00:00,6,1.00000,2025-11-14 20:41:03.377049 +00:00,2025-11-14 20:41:03.377049 +00:00
71,76,BTC,-1.00000,{},0.63000,2025-11-14 19:58:38.000000 +00:00,6,-0.70711,2025-11-14 20:41:03.379435 +00:00,2025-11-14 20:41:03.379435 +00:00
72,77,AAVE,1.00000,{regulatory},0.84000,2025-11-14 20:00:00.000000 +00:00,6,,2025-11-14 20:41:03.381750 +00:00,2025-11-14 20:41:03.381750 +00:00
73,78,BTC,1.00000,"{regulatory,security}",0.76000,2025-11-14 20:00:00.000000 +00:00,6,1.96396,2025-11-14 20:41:03.383879 +00:00,2025-11-14 20:41:03.383879 +00:00
74,79,BTC,1.00000,{hype},0.95000,2025-11-14 20:00:04.000000 +00:00,6,1.29987,2025-11-14 20:41:03.386395 +00:00,2025-11-14 20:41:03.386395 +00:00
75,80,BTC,1.00000,{hype},0.95000,2025-11-14 20:00:11.000000 +00:00,6,0.92848,2025-11-14 20:41:03.389339 +00:00,2025-11-14 20:41:03.389339 +00:00
76,80,DOGE,1.00000,{hype},0.95000,2025-11-14 20:00:11.000000 +00:00,6,,2025-11-14 20:41:03.389339 +00:00,2025-11-14 20:41:03.389339 +00:00
77,81,UNI,1.00000,{},0.76000,2025-11-14 20:00:33.000000 +00:00,6,,2025-11-14 20:41:03.392006 +00:00,2025-11-14 20:41:03.392006 +00:00
78,82,XRP,0.00000,"{hype,regulatory}",0.50000,2025-11-14 20:05:46.000000 +00:00,6,0.00000,2025-11-14 20:41:03.394325 +00:00,2025-11-14 20:41:03.394325 +00:00
79,83,BTC,1.00000,{},0.76000,2025-11-14 20:10:04.000000 +00:00,6,0.65465,2025-11-14 20:41:03.397403 +00:00,2025-11-14 20:41:03.397403 +00:00
80,84,BTC,-1.00000,{},0.79000,2025-11-14 20:10:41.000000 +00:00,6,-1.41421,2025-11-14 20:41:03.399556 +00:00,2025-11-14 20:41:03.399556 +00:00
81,85,BTC,-1.00000,{},0.71000,2025-11-14 20:12:04.000000 +00:00,6,-1.41421,2025-11-14 20:41:03.401669 +00:00,2025-11-14 20:41:03.401669 +00:00
82,86,UNI,0.00000,{},0.40000,2025-11-14 20:14:08.000000 +00:00,6,,2025-11-14 20:41:03.404004 +00:00,2025-11-14 20:41:03.404004 +00:00
83,88,BTC,-1.00000,{hype},0.90000,2025-11-14 20:16:32.000000 +00:00,6,-1.00000,2025-11-14 20:41:03.408086 +00:00,2025-11-14 20:41:03.408086 +00:00
