id,article_id,coin,polarity,aspects,confidence,ts,zscore_window,zscore,created_at,updated_at
47,54,BTC,0.00000,{},0.40000,2025-11-26 20:43:42.000000 +00:00,6,0.18570,2025-11-26 22:17:55.805934 +00:00,2025-11-26 22:17:55.805934 +00:00
48,57,BTC,1.00000,{hype},0.68000,2025-11-26 20:50:18.000000 +00:00,6,1.29987,2025-11-26 22:17:55.811595 +00:00,2025-11-26 22:17:55.811595 +00:00
49,58,DOGE,1.00000,{hype},0.95000,2025-11-26 20:54:37.000000 +00:00,6,,2025-11-26 22:17:55.813760 +00:00,2025-11-26 22:17:55.813760 +00:00
50,59,BTC,-1.00000,"{hype,regulatory,security}",0.79000,2025-11-26 20:55:11.000000 +00:00,6,-0.92848,2025-11-26 22:17:55.815949 +00:00,2025-11-26 22:17:55.815949 +00:00
51,60,BTC,0.00000,{},0.40000,2025-11-26 21:00:00.000000 +00:00,6,0.00000,2025-11-26 22:17:55.818466 +00:00,2025-11-26 22:17:55.818466 +00:00
52,61,SOL,0.00000,"{regulatory,security}",0.60000,2025-11-26 21:00:11.000000 +00:00,6,,2025-11-26 22:17:55.820676 +00:00,2025-11-26 22:17:55.820676 +00:00
53,63,BTC,1.00000,"{hype,regulatory}",0.95000,2025-11-26 21:00:29.000000 +00:00,6,0.89443,2025-11-26 22:17:55.824991 +00:00,2025-11-26 22:17:55.824991 +00:00
54,64,ETH,1.00000,"{hype,regulatory}",0.84000,2025-11-26 21:00:39.000000 +00:00,6,0.65465,2025-11-26 22:17:55.827217 +00:00,2025-11-26 22:17:55.827217 +00:00
55,65,XRP,0.00000,{hype},0.40000,2025-11-26 21:00:40.000000 +00:00,6,-1.41421,2025-11-26 22:17:55.829424 +00:00,2025-11-26 22:17:55.829424 +00:00
56,68,XRP,1.00000,{hype},0.84000,2025-11-26 21:05:24.000000 +00:00,6,0.70711,2025-11-26 22:17:55.835049 +00:00,2025-11-26 22:17:55.835049 +00:00
57,70,BNB,0.00000,{},0.40000,2025-11-26 21:11:31.000000 +00:00,6,,2025-11-26 22:17:55.839480 +00:00,2025-11-26 22:17:55.839480 +00:00
58,71,BTC,1.00000,"{hype,regulatory}",0.68000,2025-11-26 21:16:37.000000 +00:00,6,0.89443,2025-11-26 22:17:55.842059 +00:00,2025-11-26 22:17:55.842059 +00:00
59,75,BNB,0.00000,{},0.40000,2025-11-26 21:22:23.000000 +00:00,6,,2025-11-26 22:17:55.849541 +00:00,2025-11-26 22:17:55.849541 +00:00
60,75,BTC,0.00000,{},0.40000,2025-11-26 21:22:23.000000 +00:00,6,-0.44721,2025-11-26 22:17:55.849541 +00:00,2025-11-26 22:17:55.849541 +00:00
61,77,MATIC,0.00000,{},0.40000,2025-11-26 21:26:28.000000 +00:00,6,,2025-11-26 22:17:55.853660 +00:00,2025-11-26 22:17:55.853660 +00:00
62,78,USDT,0.00000,{hype},0.50000,2025-11-26 21:30:00.000000 +00:00,6,1.41421,2025-11-26 22:17:55.856050 +00:00,2025-11-26 22:17:55.856050 +00:00
63,79,BTC,0.00000,"{hype,regulatory}",0.60000,2025-11-26 21:31:06.000000 +00:00,6,-0.24254,2025-11-26 22:17:55.858188 +00:00,2025-11-26 22:17:55.858188 +00:00
64,81,BTC,0.00000,{},0.40000,2025-11-26 21:31:45.000000 +00:00,6,-0.70711,2025-11-26 22:17:55.861998 +00:00,2025-11-26 22:17:55.861998 +00:00
65,83,BTC,1.00000,"{hype,regulatory}",0.95000,2025-11-26 21:38:52.000000 +00:00,6,1.00000,2025-11-26 22:17:55.865883 +00:00,2025-11-26 22:17:55.865883 +00:00
66,85,BTC,1.00000,{},0.76000,2025-11-26 21:42:53.000000 +00:00,6,1.00000,2025-11-26 22:17:55.869958 +00:00,2025-11-26 22:17:55.869958 +00:00
67,87,ETH,0.00000,{},0.40000,2025-11-26 21:45:46.000000 +00:00,6,-0.65465,2025-11-26 22:17:55.876875 +00:00,2025-11-26 22:17:55.876875 +00:00
68,91,BTC,0.00000,{},0.40000,2025-11-26 21:55:53.000000 +00:00,6,-0.70711,2025-11-26 22:17:55.884211 +00:00,2025-11-26 22:17:55.884211 +00:00
69,92,BTC,0.00000,{},0.40000,2025-11-26 21:59:47.000000 +00:00,6,-0.70711,2025-11-26 22:17:55.886466 +00:00,2025-11-26 22:17:55.886466 +00:00
70,95,BTC,1.00000,{hype},0.92000,2025-11-26 22:00:15.000000 +00:00,6,1.00000,2025-11-26 22:17:55.892092 +00:00,2025-11-26 22:17:55.892092 +00:00
71,95,ETH,1.00000,{hype},0.92000,2025-11-26 22:00:15.000000 +00:00,6,0.65465,2025-11-26 22:17:55.892092 +00:00,2025-11-26 22:17:55.892092 +00:00
72,97,BTC,1.00000,{hype},0.92000,2025-11-26 22:00:28.000000 +00:00,6,0.70711,2025-11-26 22:17:55.896205 +00:00,2025-11-26 22:17:55.896205 +00:00
73,98,BTC,-1.00000,{},0.63000,2025-11-26 22:05:21.000000 +00:00,6,-1.78885,2025-11-26 22:17:55.898498 +00:00,2025-11-26 22:17:55.898498 +00:00
74,98,ETH,-1.00000,{},0.63000,2025-11-26 22:05:21.000000 +00:00,6,-1.29987,2025-11-26 22:17:55.898498 +00:00,2025-11-26 22:17:55.898498 +00:00
75,100,BTC,-1.00000,{},0.87000,2025-11-26 22:09:59.000000 +00:00,6,-1.22474,2025-11-26 22:17:55.902820 +00:00,2025-11-26 22:17:55.902820 +00:00
