leader,follower,window,computed_ts,best_lag_min,strength
ETH,XRP,1h,2025-11-27 23:17:56.385836 +00:00,0,0.879751
SOL,BTC,1h,2025-11-27 23:17:56.385836 +00:00,0,0.825343
SOL,ETH,1h,2025-11-27 23:17:56.385836 +00:00,0,0.857766
SOL,USDT,1h,2025-11-27 23:17:56.385836 +00:00,0,0.114845
SOL,XRP,1h,2025-11-27 23:17:56.385836 +00:00,0,0.863292
USDT,BTC,1h,2025-11-27 23:17:56.385836 +00:00,0,0.158260
USDT,ETH,1h,2025-11-27 23:17:56.385836 +00:00,0,0.207072
USDT,SOL,1h,2025-11-27 23:17:56.385836 +00:00,0,0.114845
USDT,XRP,1h,2025-11-27 23:17:56.385836 +00:00,0,0.150882
XRP,BTC,1h,2025-11-27 23:17:56.385836 +00:00,0,0.845424
XRP,ETH,1h,2025-11-27 23:17:56.385836 +00:00,0,0.879751
XRP,SOL,1h,2025-11-27 23:17:56.385836 +00:00,0,0.863292
XRP,USDT,1h,2025-11-27 23:17:56.385836 +00:00,0,0.150882
BTC,ETH,4h,2025-11-27 23:17:56.385836 +00:00,0,0.900286
BTC,SOL,4h,2025-11-27 23:17:56.385836 +00:00,0,0.803273
BTC,USDT,4h,2025-11-27 23:17:56.385836 +00:00,0,0.347455
BTC,XRP,4h,2025-11-27 23:17:56.385836 +00:00,0,0.833270
ETH,BTC,4h,2025-11-27 23:17:56.385836 +00:00,0,0.900286
ETH,SOL,4h,2025-11-27 23:17:56.385836 +00:00,0,0.862243
ETH,USDT,4h,2025-11-27 23:17:56.385836 +00:00,0,0.344423
ETH,XRP,4h,2025-11-27 23:17:56.385836 +00:00,0,0.864752
SOL,BTC,4h,2025-11-27 23:17:56.385836 +00:00,0,0.803273
SOL,ETH,4h,2025-11-27 23:17:56.385836 +00:00,0,0.862243
SOL,USDT,4h,2025-11-27 23:17:56.385836 +00:00,0,0.323497
SOL,XRP,4h,2025-11-27 23:17:56.385836 +00:00,0,0.862385
USDT,BTC,4h,2025-11-27 23:17:56.385836 +00:00,0,0.347455
USDT,ETH,4h,2025-11-27 23:17:56.385836 +00:00,0,0.344423
USDT,SOL,4h,2025-11-27 23:17:56.385836 +00:00,0,0.323497
USDT,XRP,4h,2025-11-27 23:17:56.385836 +00:00,0,0.276757
XRP,BTC,4h,2025-11-27 23:17:56.385836 +00:00,0,0.833270
XRP,ETH,4h,2025-11-27 23:17:56.385836 +00:00,0,0.864752
XRP,SOL,4h,2025-11-27 23:17:56.385836 +00:00,0,0.862385
XRP,USDT,4h,2025-11-27 23:17:56.385836 +00:00,0,0.276757
BTC,ETH,1h,2025-11-27 23:19:46.510021 +00:00,0,0.895839
BTC,SOL,1h,2025-11-27 23:19:46.510021 +00:00,0,0.825328
BTC,USDT,1h,2025-11-27 23:19:46.510021 +00:00,0,0.157812
BTC,XRP,1h,2025-11-27 23:19:46.510021 +00:00,0,0.845406
ETH,BTC,1h,2025-11-27 23:19:46.510021 +00:00,0,0.895839
ETH,SOL,1h,2025-11-27 23:19:46.510021 +00:00,0,0.857754
ETH,USDT,1h,2025-11-27 23:19:46.510021 +00:00,0,0.206590
ETH,XRP,1h,2025-11-27 23:19:46.510021 +00:00,0,0.879733
SOL,BTC,1h,2025-11-27 23:19:46.510021 +00:00,0,0.825328
SOL,ETH,1h,2025-11-27 23:19:46.510021 +00:00,0,0.857754
SOL,USDT,1h,2025-11-27 23:19:46.510021 +00:00,0,0.114359
SOL,XRP,1h,2025-11-27 23:19:46.510021 +00:00,0,0.863266
USDT,BTC,1h,2025-11-27 23:19:46.510021 +00:00,0,0.157812
USDT,ETH,1h,2025-11-27 23:19:46.510021 +00:00,0,0.206590
USDT,SOL,1h,2025-11-27 23:19:46.510021 +00:00,0,0.114359
USDT,XRP,1h,2025-11-27 23:19:46.510021 +00:00,0,0.150701
XRP,BTC,1h,2025-11-27 23:19:46.510021 +00:00,0,0.845406
XRP,ETH,1h,2025-11-27 23:19:46.510021 +00:00,0,0.879733
XRP,SOL,1h,2025-11-27 23:19:46.510021 +00:00,0,0.863266
XRP,USDT,1h,2025-11-27 23:19:46.510021 +00:00,0,0.150701
BTC,ETH,4h,2025-11-27 23:19:46.510021 +00:00,0,0.900307
BTC,SOL,4h,2025-11-27 23:19:46.510021 +00:00,0,0.803339
BTC,USDT,4h,2025-11-27 23:19:46.510021 +00:00,0,0.347124
BTC,XRP,4h,2025-11-27 23:19:46.510021 +00:00,0,0.833246
ETH,BTC,4h,2025-11-27 23:19:46.510021 +00:00,0,0.900307
ETH,SOL,4h,2025-11-27 23:19:46.510021 +00:00,0,0.862275
ETH,USDT,4h,2025-11-27 23:19:46.510021 +00:00,0,0.345625
ETH,XRP,4h,2025-11-27 23:19:46.510021 +00:00,0,0.864776
SOL,BTC,4h,2025-11-27 23:19:46.510021 +00:00,0,0.803339
SOL,ETH,4h,2025-11-27 23:19:46.510021 +00:00,0,0.862275
SOL,USDT,4h,2025-11-27 23:19:46.510021 +00:00,0,0.324993
SOL,XRP,4h,2025-11-27 23:19:46.510021 +00:00,0,0.862415
USDT,BTC,4h,2025-11-27 23:19:46.510021 +00:00,0,0.347124
USDT,ETH,4h,2025-11-27 23:19:46.510021 +00:00,0,0.345625
USDT,SOL,4h,2025-11-27 23:19:46.510021 +00:00,0,0.324993
USDT,XRP,4h,2025-11-27 23:19:46.510021 +00:00,0,0.278372
XRP,BTC,4h,2025-11-27 23:19:46.510021 +00:00,0,0.833246
XRP,ETH,4h,2025-11-27 23:19:46.510021 +00:00,0,0.864776
XRP,SOL,4h,2025-11-27 23:19:46.510021 +00:00,0,0.862415
XRP,USDT,4h,2025-11-27 23:19:46.510021 +00:00,0,0.278372
